syear,shours,sgdp,camgdp,camhours,camyear,myear,mhours,mgdp,gyear,ghours,ggdp,usyear,ushours,usgdp,byear,bhours,bgdp,skyear,skhours,skgdp,indoyear,indohours,indogdp,jyear,jhours,jgdp,ayear,ahours,agdp,indiyear,indihours,indigdp,chiyear,chihours,chigdp,ryear,rhours,rgdp,sy,sp,usy,usp,camy,camp,gy,gp,by,bp,ay,ap,uky,ukp,ty,tp,sky,skp,cy,cp,by,bp,say,sap,chy,chp,indiay,indiap,indony,indonp
1950,2039.9952,16251.6455,1448.8633,2187.2812,1995,1970,2446.7158,760.68317,1950,2428.2795,5227.417,1950,1990.1449,15911.842,1950,2042,1664.8303,1955,2557.3096,1211.2332,1970,1893.4952,1313.4451,1950,2030.4137,2804.927,1950,2170.9233,13660.783,1970,2077.3308,1434.1698,1970,1976.312,1292.507,1995,1891,10408.82,1950,15.77341,1950,19.803486,1993,1.4276047,1950,4.7953887,1950,9.94314,1950,15.326854,1950,10.331418,1951,1.7312752,1953,1.5332465,1951,5.5921326,1950,2.5495155,2001,14.418629,1970,1.4994909,1970,1.9620081,1970,2.3521268
1955,2002.0587,19953.736,1397.3701,2296.8909,2000,1975,2444.198,747.044,1955,2301.7886,8258.347,1955,2005.5841,18205.357,1955,2087.4932,1981.2771,1960,2748.8425,1256.0479,1975,1900.5018,1803.5731,1955,2034.5164,3785.0757,1955,2072.3806,14775.68,1975,2069.9565,1593.6079,1975,1974.8975,1428.976,2000,1982,9876.465,1951,16.673876,1951,20.120426,1994,1.5565166,1951,5.26503,1951,10.412888,1951,14.583223,1951,10.466235,1952,1.9633273,1954,1.5661155,1952,6.0218053,1951,2.5436735,2002,14.43183,1971,1.5798508,1971,1.9834533,1971,2.4697526
1960,1964.8275,23249.107,1984.006,2373.758,2005,1980,2437.9404,856.58966,1960,2181.8867,11158.834,1960,1935.2631,19079.525,1960,2134,2336.8499,1965,2900.7974,1499.8173,1980,2005.733,2408.41,1960,2172.899,5473.6265,1960,1978.3108,15799.374,1980,2064.0278,1310.5286,1980,1971.4967,1678.2577,2005,1989,15078.187,1952,16.399836,1952,20.598131,1995,1.6360574,1952,5.704417,1952,10.693442,1952,14.244756,1952,10.593669,1953,2.1465368,1955,1.6520659,1953,6.131721,1952,2.7247734,2003,15.460175,1972,1.492279,1972,1.9902271,1972,2.6786692
1965,1978.9056,27104.668,2470.1335,2390.162,2010,1985,2435.405,963.75653,1965,2084.961,13321.435,1965,1955.0966,22745.727,1965,2139.493,2937.4858,1970,2918.9275,2210.7944,1985,2029.4622,2729.8496,1965,2135.1223,8102.635,1965,1960.1299,17704.107,1985,2068.6077,1184.8011,1985,1969.3905,2336.5251,2010,1976,24175.521,1953,16.989468,1953,21.30933,1996,1.5068518,1953,6.1068497,1953,11.086224,1953,15.922848,1953,11.059659,1954,2.3178558,1956,1.6478194,1954,6.5281677,1953,2.726391,2004,16.013725,1973,1.5905421,1973,2.048084,1973,2.8452399
1970,1993.0847,31793.943,3481.1858,2458.309,2015,1990,2439.5107,762.569,1970,1973.209,15778.724,1970,1893.4236,25444.533,1970,2145,3726.383,1975,2889.8525,4501.716,1990,1909.3021,3436.3403,1970,2137.2173,13023.325,1970,1942.116,21518.926,1990,2078.4795,1430.1027,1990,1975.354,2427.055,2015,1978,25285.736,1954,18.031937,1954,21.892582,1997,1.4833804,1954,6.508941,1954,11.657062,1954,16.903465,1954,11.30144,1955,2.4711213,1957,1.7407553,1955,6.338384,1954,2.8643858,2005,16.981928,1974,1.5722494,1974,1.9792039,1974,3.0196362
1975,1894.04,31364.006,,,,1995,2443.2498,1044.4792,1975,1812.5404,18229.615,1975,1813.248,27739.982,1975,2063.667,5355.2227,1980,2860.942,5414.4873,1995,1927.9639,4604.4634,1975,2030.2618,15796.556,1975,1893.8304,22008.213,1995,2077.0972,1702.7816,1995,2001.834,3431.2358,2019,1965,28526.293,1955,19.082586,1955,22.800766,1998,1.3490212,1955,7.258235,1955,12.236811,1955,17.536858,1955,11.641586,1956,2.641868,1958,1.7448703,1956,6.20075,1955,2.9838479,2006,16.608631,1975,1.5965048,1975,2.1095817,1975,3.1843622
1980,1821.8396,35278.707,,,,2000,2444.775,1123.4163,1980,1756.7238,22038.219,1980,1801.6115,31852.342,1980,1985,5876.957,1985,2878.9229,7476.701,2000,1979.1157,3753.7678,1980,2073.9438,20852.17,1980,1909.7628,24692.652,2000,2086.6284,2137.655,2000,2090.4753,4199.84,,,,1956,19.974682,1956,22.947628,1999,1.3725711,1956,7.7465124,1956,12.642281,1956,17.582268,1956,11.858819,1957,2.8316276,1959,1.7153504,1957,6.8051887,1956,2.993859,2007,17.33961,1976,1.4927917,1976,2.0281641,1976,3.4578304
1985,1751.3289,35892.363,,,,2005,2444.7424,1804.991,1985,1676.4623,21471.29,1985,1801.1373,35481.77,1985,1931.0797,5942.8237,1990,2674.1416,13819.284,2005,2024.379,4452.749,1985,2076.7673,20254.344,1985,1869.2603,26544.85,2005,2096.916,2973.66,2005,2192.3545,6588.563,,,,1957,20.342276,1957,23.664543,2000,1.4149227,1957,8.123039,1957,12.831566,1957,17.63839,1957,12.199872,1958,3.0093148,1960,1.668106,1958,7.0324726,1957,3.1496594,2008,17.446796,1977,1.5616083,1977,1.9587873,1977,3.669632
1990,1716.2208,42263.76,,,,2010,2442.7847,3679.6335,1990,1583.1582,28100.42,1990,1795.5679,39577.016,1990,1879,6406.3853,1995,2645.1726,22422.61,2010,2066.0007,8177.112,1990,2028.4187,29385.457,1990,1863.9597,29933.852,2010,2110.3926,4554.7417,2010,2172.7102,10116.533,,,,1958,19.803474,1958,24.276978,2001,1.3620656,1958,8.419739,1958,12.87857,1958,19.052452,1958,12.563811,1959,3.269034,1961,1.6948746,1959,6.9309835,1958,3.2231312,2009,17.575262,1978,1.7562629,1978,1.8642068,1978,3.6136928
1995,1720.2662,42405.1,,,,2015,2445.9854,4774.1333,1995,1530.5715,32570.662,1995,1817.4744,42847.785,1995,1855.2317,9343.925,2000,2509.3179,24834.428,2015,2024.287,10247.408,1995,1911.6,35783.742,1995,1870.3296,33466.836,2015,2118.8215,5634.441,2015,2170.4592,12784.436,,,,1959,21.428202,1959,25.127491,2002,1.3941027,1959,9.1394,1959,13.44223,1959,20.235952,1959,13.220182,1960,3.475266,1962,1.6225559,1960,7.3280573,1959,3.2603498,2010,18.785038,1979,1.7937474,1979,1.6844178,1979,3.7664351
