gender,komputer,handphone,tidur,,,,
Laki-laki,7,7,7,,,,
Laki-laki,3,8,5,,,,
Laki-laki,2,4,7,,,,
Laki-laki,2,5,4,,,,
Laki-laki,5,5,6,,,,
Laki-laki,1,7,7,,,,
Perempuan,3,4,6,,,,s
Laki-laki,4,5,8,,,,
Laki-laki,2,7,5,,,,
Perempuan,6,7,5,,,,
Perempuan,2,7,7,,,,
Perempuan,3,3,4,,,,
Laki-laki,3,5,5,,,,
Perempuan,5,12,6,,,,
Laki-laki,7,7,8,,,,
Laki-laki,4,,8,,,,
Laki-laki,1,7,8,,,,
Perempuan,3,6,7,,,,
Laki-laki,2,7,11,,,,
Perempuan,4,6,6,,,,
Laki-laki,5,7,6,,,,
Laki-laki,1,5,8,,,,
Perempuan,0,7,8,,,,
Perempuan,4,7,6,,,,
Perempuan,4,8,6,,,,
Perempuan,3,5,5,,,,
Laki-laki,6,9,4,,,,
Laki-laki,3,7,8,,,,
Perempuan,4,7,6,,,,
